PC3_Pellet_GFP_4.3	PC3_Pellet_GFP_23.3	PC3_Pellet_GFP_6.3	PC3_Pellet_CAV1_4.3	PC3_Pellet_CAV2(1!!)_23.3Q	PC3_Pellet_CAV1_6.3	PC3_Pellet_CAV2_4.3	PC3_Pellet_CAV2_23.3	PC3_Pellet_CAV2_6.3	PC3_Pellet_CAV3_4.3	PC3_Pellet_CAV3_23.3	PC3_Pellet_CAV3_23.3F
hsa-miR-222-5p	19	11	24	27	42	9	19	63	40	41	27	29
hsa-miR-4664-3p	26	9	58	36	15	11	14	8	27	18	8	11
hsa-let-7e-5p	675	4613	1558	3133	1524	956	1134	3389	917	2344	1131	1314
hsa-miR-532-5p	1122	1200	3040	2049	1157	1061	718	1039	1680	1387	2153	1714
hsa-miR-574-3p	25	51	21	85	110	20	34	118	46	62	47	65
hsa-miR-3687-2-3p	3	10	32	5	13	4	8	6	2	11	13	4
hsa-miR-6131-3p	36	24	10	16	84	12	51	47	8	72	4	15
hsa-miR-3613-5p	66	104	128	167	65	79	25	109	90	47	86	68
hsa-miR-10a-5p	17213	13481	34675	22987	9964	16076	10965	8070	12590	15415	17083	16212
hsa-miR-331-3p	70	99	86	129	53	38	23	60	55	56	89	72
hsa-miR-378d-2-5p	59	175	113	176	79	58	38	97	119	100	151	117
hsa-miR-29a-5p	13	10	6	16	6	11	1	9	5	7	6	15
hsa-miR-186-5p	367	488	1175	747	498	500	251	561	907	464	627	451
hsa-miR-331-5p	18	45	34	36	11	14	7	15	20	23	17	11
hsa-miR-24-2-3p	4327	15320	8010	14342	12047	4025	3460	13753	6178	5353	7555	7670
hsa-miR-522-3p	2	23	8	16	2	13	0	2	0	8	14	14
hsa-miR-375-3p	381	748	1854	3326	527	1834	231	542	283	1833	1846	1341
hsa-miR-4497-5p	26	75	111	90	22	33	11	28	30	34	43	23
hsa-let-7c-5p	146	911	450	623	269	284	169	692	254	353	301	327
hsa-miR-25-5p	11	9	16	25	5	7	1	13	11	20	3	3
hsa-miR-421-3p	57	100	99	122	75	44	26	95	78	76	58	67
hsa-miR-4677-3p	13	27	21	19	11	13	6	18	16	14	14	23
hsa-miR-93-3p	10	21	11	21	9	3	14	30	9	7	4	8
hsa-miR-98-5p	496	2439	1240	1380	976	462	700	1755	834	933	716	922
hsa-let-7a-1-3p	580	457	1331	941	599	686	158	539	1140	374	863	798
hsa-miR-149-5p	27	64	68	176	68	53	30	57	46	61	79	53
hsa-miR-151b-3p	87	69	292	93	34	57	26	55	77	158	128	119
hsa-miR-33a-5p	12	24	28	30	25	15	7	18	23	7	14	13
hsa-miR-28-5p	37	288	97	142	60	71	28	206	52	71	68	177
hsa-miR-185-5p	123	799	205	376	222	107	146	894	141	224	123	136
hsa-let-7f-1-3p	54	37	77	65	52	33	19	36	44	25	37	40
hsa-miR-374a-3p	168	69	334	177	70	128	58	42	200	123	280	236
hsa-miR-378c-5p	980	2370	1716	3092	1535	1022	885	1692	1650	1734	2199	1542
hsa-miR-10a-3p	45	97	77	135	57	45	34	47	56	50	49	53
hsa-miR-1307-5p	91	73	173	77	47	43	33	43	101	51	68	70
hsa-miR-31-5p	693	4590	778	1337	821	434	286	3049	432	529	763	967
hsa-miR-6868-3p	7	13	39	31	23	16	5	17	26	14	13	16
hsa-miR-378f-3p	27	56	43	68	39	21	20	50	38	52	43	45
hsa-miR-374b-5p	352	484	663	767	354	459	181	326	439	391	497	679
hsa-let-7b-3p	44	80	163	169	91	59	57	74	97	91	74	68
hsa-miR-193b-3p	42	67	84	61	43	38	31	49	91	41	40	57
hsa-miR-378i-5p	484	591	633	1124	664	436	418	593	724	773	967	683
hsa-miR-4284-5p	0	76	17	26	21	8	7	52	5	21	22	12
hsa-miR-218-1-5p	1088	1052	2356	2112	1159	1702	395	1048	2905	835	1928	2327
hsa-miR-21-3p	728	1082	953	1521	780	498	474	839	937	725	996	732
hsa-miR-130b-5p	68	101	225	215	140	80	61	114	203	178	91	100
hsa-miR-29c-3p	14	43	23	38	35	22	4	46	31	18	30	39
hsa-miR-4286-5p	11	15	20	27	11	5	5	9	37	16	16	7
hsa-miR-625-3p	68	100	51	79	44	27	28	60	47	73	46	44
hsa-miR-24-1-3p	4370	15471	8269	14390	12080	4123	3470	13822	6282	5364	7638	7812
hsa-miR-7641-2-5p	27	26	49	29	43	23	9	38	41	32	52	20
hsa-miR-424-5p	142	1178	126	264	57	77	44	177	63	84	104	231
hsa-miR-652-3p	36	108	90	92	35	27	30	92	52	32	43	45
hsa-miR-3912-3p	6	8	27	12	13	20	3	8	24	6	20	32
hsa-miR-548x-3p	25	39	32	34	25	19	9	32	33	26	30	20
hsa-miR-585-3p	9	18	6	21	6	8	6	4	7	7	12	6
hsa-miR-671-5p	25	49	24	51	57	23	35	116	21	59	18	22
hsa-miR-5100-3p	11	4	13	32	23	2	4	5	7	12	12	4
hsa-miR-125a-3p	7	33	17	29	11	14	8	17	10	16	7	9
hsa-miR-484-5p	119	547	122	307	162	106	81	538	189	147	74	308
hsa-miR-27b-5p	23	30	28	43	4	10	2	22	12	16	7	6
hsa-miR-126-3p	85	830	164	296	164	95	56	393	105	106	101	218
hsa-miR-7-3-5p	981	643	3002	2328	913	1594	902	1284	4629	3276	844	1413
hsa-miR-32-3p	14	17	33	32	15	16	5	13	20	17	13	13
hsa-miR-576-5p	13	15	25	22	9	7	2	5	14	17	14	13
hsa-miR-29a-3p	3958	9937	6647	9988	9582	3748	3739	11160	7784	4227	6484	6628
hsa-miR-16-1-5p	135	964	210	466	201	170	79	451	137	229	182	439
hsa-let-7a-3-3p	580	457	1331	941	599	686	158	538	1140	374	863	798
hsa-miR-140-3p	121	155	153	137	65	73	35	124	62	117	100	66
hsa-miR-30a-3p	167	335	421	327	394	125	295	366	411	284	312	202
hsa-miR-651-5p	36	46	70	104	22	133	14	18	44	52	140	137
hsa-miR-181b-1-5p	192	574	599	591	379	322	226	587	468	443	309	291
hsa-miR-196a-2-5p	18	173	57	189	41	55	24	109	37	94	32	38
hsa-miR-1269a-3p	26	90	76	92	60	31	39	84	32	74	57	46
hsa-miR-542-3p	156	409	386	229	52	201	52	91	142	167	221	240
hsa-miR-9-3-5p	63	98	125	114	37	65	30	59	59	79	166	158
hsa-miR-106b-5p	225	693	360	362	196	249	89	493	469	131	265	303
hsa-miR-301a-3p	13	32	13	17	8	10	5	22	8	10	9	14
hsa-miR-191-3p	7	11	13	16	12	2	4	19	14	8	3	4
hsa-miR-615-3p	147	167	605	426	77	150	31	114	166	234	159	83
hsa-miR-100-5p	140741	151489	273964	370633	203216	162441	217741	161522	244108	262111	338817	250991
hsa-miR-1247-3p	21	9	15	40	0	11	3	0	1	25	18	13
hsa-miR-4448-3p	27	9	3	12	14	8	11	11	3	29	5	4
hsa-miR-4454-5p	62	155	97	228	186	54	57	324	295	96	138	157
hsa-miR-363-3p	47	87	108	8	0	4	1	3	0	4	5	9
hsa-miR-7974-3p	131	73	553	197	156	205	62	92	212	313	160	223
hsa-miR-103a-1-3p	3258	24421	4536	7679	5602	3372	3216	20085	2653	4653	3562	4662
hsa-miR-98-3p	17	18	34	21	13	7	4	18	35	6	34	28
hsa-miR-130a-3p	50	176	80	77	52	35	22	76	48	52	42	61
hsa-miR-28-3p	158	330	273	411	177	137	156	237	124	328	186	133
hsa-miR-15b-3p	99	138	160	182	60	113	51	107	133	95	115	94
hsa-miR-128-1-3p	1559	1615	5468	5955	2142	3010	944	1846	3587	3183	3622	2547
hsa-miR-130b-3p	12	57	20	18	14	9	1	26	14	20	16	14
hsa-miR-4521-5p	173	370	187	216	185	126	102	319	183	173	160	167
hsa-miR-92a-2-3p	7365	15280	13495	8710	5960	2989	4351	8154	5966	6794	5772	4407
hsa-miR-505-3p	13	62	40	47	39	12	14	46	31	29	21	19
hsa-miR-503-5p	254	679	269	440	129	147	83	250	110	274	203	224
hsa-miR-5095-5p	1	2	15	11	5	4	3	6	13	6	6	4
hsa-miR-429-3p	4190	4470	12370	6668	4796	5704	1426	4582	11208	2631	6221	7762
hsa-miR-185-3p	4	7	25	14	9	6	6	7	13	9	8	6
hsa-miR-32-5p	122	322	322	355	155	156	45	223	207	139	155	296
hsa-miR-941-1-3p	34	34	53	77	66	34	58	51	37	74	59	57
hsa-miR-378e-3p	12	40	27	56	23	14	15	20	32	23	34	28
hsa-miR-22-3p	2786	10315	6714	9376	6035	3608	2500	9460	3747	4283	4968	7470
hsa-miR-31-3p	20	34	44	31	28	22	8	13	23	25	22	33
hsa-miR-9-2-5p	63	98	125	114	37	65	30	59	59	80	166	158
hsa-miR-548o-3p	28	18	50	63	31	47	12	14	52	57	48	47
hsa-miR-335-3p	138	133	307	251	121	141	123	150	468	286	243	315
hsa-miR-30d-3p	21	17	79	59	26	20	14	11	46	25	31	28
hsa-miR-125a-5p	1246	7359	2966	4075	2721	1641	1451	4348	1075	2674	2207	2895
hsa-miR-362-5p	64	101	44	99	78	47	36	88	35	51	47	60
hsa-miR-6510-3p	10	7	27	40	28	15	12	17	15	23	31	30
hsa-miR-26a-2-5p	8148	28240	18983	25670	8200	12627	3646	10865	6750	8011	11258	11749
hsa-miR-330-5p	18	35	45	24	30	12	11	34	20	10	32	23
hsa-miR-934-5p	19	36	18	12	114	16	41	208	130	13	43	39
hsa-let-7f-1-5p	11281	82993	24047	35833	18276	12638	16506	43296	15566	23498	12766	16425
hsa-miR-548o-2-3p	28	18	50	63	31	47	12	14	52	57	48	47
hsa-miR-27a-3p	5704	12994	13780	16485	9762	6006	3852	9624	10120	7944	12847	11910
hsa-miR-874-3p	24	22	15	57	30	26	18	38	38	27	29	26
hsa-miR-378d-1-3p	61	175	115	177	77	59	37	97	121	99	149	119
hsa-miR-1246-5p	45	79	138	178	281	42	9	102	114	140	54	49
hsa-miR-374a-5p	63	101	109	141	68	67	39	53	51	78	102	123
hsa-miR-335-5p	18	96	29	39	30	12	12	66	33	24	24	50
hsa-miR-23b-3p	212	1005	321	566	257	200	160	653	227	332	223	260
hsa-miR-143-3p	6	5	13	29	6	9	7	7	2	19	8	18
hsa-miR-320c-2-3p	29	88	44	64	37	16	27	79	33	51	20	33
hsa-miR-6087-3p	11	10	51	22	35	5	8	23	32	25	16	6
hsa-miR-1303-5p	9	77	2	13	14	5	8	104	2	10	5	3
hsa-miR-148b-3p	2066	2928	4464	4022	1620	2954	1411	1433	2599	2738	3074	3872
hsa-miR-135b-3p	16	18	20	20	16	5	10	19	11	13	7	5
hsa-let-7g-5p	5434	37630	11632	22354	10520	7061	6488	26153	8443	10934	6579	8824
hsa-miR-328-3p	35	127	101	133	162	39	80	208	44	107	97	57
hsa-miR-222-3p	3979	4058	3339	7615	10226	2966	9661	13652	4998	14027	5121	6877
hsa-miR-9-1-5p	63	98	125	114	37	65	30	59	59	79	166	158
hsa-miR-148b-5p	42	89	100	115	56	62	35	40	54	76	46	60
hsa-miR-27b-3p	3771	13613	9992	12102	4968	4131	3098	6098	5843	6219	6076	5516
hsa-miR-378g-5p	3	19	8	34	15	12	10	25	13	18	14	7
hsa-miR-1273f-5p	5	12	18	14	6	10	7	18	6	9	10	10
hsa-miR-190a-5p	13	7	13	7	9	12	3	1	6	4	7	6
hsa-miR-203a-3p	948	4055	2067	1156	295	676	142	608	484	566	635	753
hsa-miR-19b-2-3p	977	1342	1220	444	353	571	117	459	649	199	472	907
hsa-miR-181a-1-3p	90	46	123	113	54	64	50	50	103	85	68	56
hsa-miR-1180-3p	83	94	189	252	89	79	50	105	133	137	94	62
hsa-miR-3919-5p	3	11	3	10	10	6	5	6	28	6	15	12
hsa-miR-548x-2-3p	11	14	10	14	13	7	2	13	9	8	18	8
hsa-miR-148a-5p	309	240	384	296	83	118	38	71	100	129	289	216
hsa-miR-194-1-5p	13	67	21	37	13	19	0	30	7	19	15	17
hsa-let-7a-1-5p	5501	43903	14269	36278	17240	9914	13809	41408	12117	21555	12548	13591
hsa-let-7a-3-5p	5484	43869	14277	36274	17227	9905	13801	41419	12126	21559	12548	13581
hsa-miR-210-3p	206	410	246	600	974	250	325	1140	337	659	601	783
hsa-miR-181a-2-3p	31	44	96	83	57	38	59	66	65	77	43	46
hsa-miR-29b-2-3p	263	306	696	352	346	269	157	350	509	336	408	856
hsa-miR-548k-5p	30	23	40	54	19	33	14	16	44	21	28	30
hsa-miR-99a-5p	844	1037	1581	1869	824	967	832	687	872	1380	1471	1234
hsa-miR-16-2-3p	434	472	1076	978	395	539	162	403	757	439	486	628
hsa-miR-151a-3p	5567	9882	12154	18710	8535	5899	7060	6393	4315	14556	8523	7389
hsa-miR-125b-1-5p	2284	12246	4360	8780	6006	2951	3355	12469	3897	4828	5257	5622
hsa-miR-324-5p	16	22	21	19	12	8	9	16	9	15	17	17
hsa-miR-221-5p	264	520	278	675	920	355	890	1264	538	1243	480	768
hsa-miR-877-5p	13	27	20	32	22	10	21	47	19	17	14	13
hsa-miR-140-5p	5	28	10	23	17	9	3	18	7	11	8	19
hsa-miR-450b-5p	224	238	371	268	58	160	50	79	133	215	232	237
hsa-miR-30c-2-5p	1205	4310	1551	2302	1838	1190	978	3493	1383	1244	1225	1830
hsa-miR-744-5p	72	165	136	214	114	39	48	189	78	117	50	37
hsa-miR-107-3p	262	1677	514	539	375	324	172	1168	307	297	384	390
hsa-let-7d-5p	358	2174	789	1515	824	441	474	1866	592	797	576	621
hsa-miR-26b-5p	635	2614	2373	2891	1143	1739	515	2319	1238	1487	1855	2183
hsa-miR-378a-3p	2380	4502	3560	7131	3840	2445	2317	4259	3636	4454	4734	3788
hsa-miR-378a-5p	31	51	54	87	47	39	11	50	43	29	61	60
hsa-miR-181b-2-5p	202	583	615	610	383	344	231	599	475	460	310	309
hsa-miR-181a-2-5p	812	2336	2460	2273	1934	1347	941	2101	1492	1643	1368	2034
hsa-miR-1247-5p	18	15	11	21	0	9	1	2	3	8	12	9
hsa-miR-26a-1-5p	8145	28230	18982	25664	8198	12625	3645	10861	6748	8010	11255	11748
hsa-miR-30e-3p	196	189	577	455	195	255	211	153	289	357	399	272
hsa-miR-326-3p	3	7	12	7	15	6	4	10	13	8	12	5
hsa-miR-15b-5p	69	686	193	324	132	122	83	377	112	128	143	146
hsa-miR-1273e-5p	4	18	17	18	8	6	8	17	8	16	12	15
hsa-miR-5096-3p	15	24	85	36	33	30	9	41	44	36	56	40
hsa-miR-196b-5p	56	379	133	345	128	90	63	224	73	170	72	116
hsa-miR-6842-3p	10	9	16	14	6	10	4	5	4	11	3	6
hsa-miR-139-5p	28	61	52	33	22	11	8	11	11	16	24	22
hsa-miR-99b-3p	266	381	539	538	247	194	243	325	296	570	307	244
hsa-miR-941-4-3p	34	34	53	77	66	34	58	51	37	74	59	57
hsa-miR-3687-1-3p	3	10	32	5	13	4	8	6	2	11	13	4
hsa-miR-339-3p	55	126	64	109	47	36	20	71	43	57	55	61
hsa-miR-19b-1-3p	976	1341	1220	444	353	571	117	460	649	200	471	907
hsa-miR-1273a-3p	20	27	22	32	17	6	58	53	20	39	15	12
hsa-miR-339-5p	174	264	153	239	109	130	50	146	146	133	144	219
hsa-miR-5096-5p	4	17	48	23	23	14	11	16	21	29	16	12
hsa-miR-182-5p	1355	7705	2240	5180	5780	1907	5521	12302	2090	6940	2851	3755
hsa-miR-7706-3p	84	80	145	164	119	67	91	94	34	165	103	80
hsa-miR-941-3-3p	34	34	53	77	66	34	58	51	37	74	59	57
hsa-miR-671-3p	43	35	73	82	77	27	43	64	74	93	71	40
hsa-miR-5701-1-5p	12	225	373	75	38	54	11	42	115	19	399	61
hsa-miR-450a-1-5p	462	298	1126	461	72	375	62	97	423	236	656	514
hsa-miR-576-3p	22	24	21	45	16	11	5	11	12	23	13	13
hsa-miR-92b-3p	245	306	510	413	368	133	262	490	467	622	322	285
hsa-miR-340-3p	19	26	56	36	15	36	6	19	18	26	29	31
hsa-miR-20b-5p	14	78	21	14	9	6	2	16	5	2	5	9
hsa-miR-5701-2-5p	12	225	373	75	38	54	11	42	115	19	399	61
hsa-miR-125b-1-3p	102	116	218	452	288	114	187	236	290	515	237	165
hsa-miR-4419a-5p	4	7	19	11	8	1	2	17	7	8	14	10
hsa-miR-18a-5p	60	158	72	67	28	21	15	88	32	38	22	42
hsa-let-7e-3p	25	48	56	43	31	21	13	31	34	36	45	48
hsa-miR-7641-2-3p	670	632	396	258	201	123	561	6531	285	581	176	120
hsa-miR-200a-3p	9382	16456	24730	14900	11310	10643	4774	14209	15764	8453	12519	13115
hsa-miR-196a-1-5p	15	158	53	168	38	50	24	103	35	85	30	37
hsa-miR-769-5p	231	266	397	330	233	223	198	316	383	286	335	257
hsa-miR-3182-5p	115	50	21	88	213	32	137	131	13	362	22	56
hsa-miR-221-3p	2189	7848	3446	9443	11190	3412	6832	19417	6904	8324	4871	6826
hsa-miR-146a-5p	22	139	110	46	6	15	5	17	5	25	51	40
hsa-miR-7641-1-5p	91	39	142	127	100	57	26	40	44	49	103	39
hsa-miR-320d-1-3p	15	36	25	33	15	8	14	37	16	21	9	20
hsa-miR-200b-5p	37	150	74	116	74	28	44	156	46	49	48	37
hsa-miR-1303-3p	6	5	20	25	8	12	0	8	11	20	16	6
hsa-miR-3607-3p	38	504	247	161	141	194	52	113	69	143	172	186
hsa-miR-320a-3p	1284	3527	944	2087	1701	749	1073	2989	637	1723	793	1010
hsa-miR-200b-3p	8580	34823	15148	24250	17086	12733	10657	30785	10244	16312	9873	17131
hsa-miR-30c-1-5p	1203	4303	1552	2302	1839	1191	977	3492	1382	1246	1226	1829
hsa-miR-589-5p	47	71	70	95	57	54	46	51	42	88	72	57
hsa-miR-125b-2-5p	2285	12267	4381	8795	6011	2955	3362	12482	3905	4837	5276	5623
hsa-miR-95-3p	65	74	163	152	76	63	47	68	126	86	112	101
hsa-miR-7-1-5p	990	648	3008	2343	918	1599	911	1288	4634	3298	847	1417
hsa-miR-3159-3p	5	17	16	16	9	4	6	21	13	7	14	23
hsa-miR-132-3p	18	45	28	28	22	16	7	25	9	16	24	24
hsa-miR-92b-5p	6	4	7	2	11	2	5	11	13	14	9	7
hsa-miR-192-5p	584	814	1244	1358	489	644	312	417	632	885	848	798
hsa-miR-361-3p	322	262	408	412	164	347	176	240	187	324	343	274
hsa-miR-92a-1-3p	7436	15511	13616	8799	6022	3028	4408	8250	6026	6868	5810	4433
hsa-miR-101-2-3p	2344	3684	7549	3559	2355	3887	1581	2557	4363	2430	4280	4896
hsa-miR-4532-5p	63	10	99	32	11	24	8	6	47	15	12	6
hsa-miR-423-3p	1867	4072	2169	5025	3064	1438	1679	4086	1331	2856	1797	1596
hsa-miR-146b-5p	450	737	574	788	535	368	337	531	222	507	354	405
hsa-miR-4324-3p	5	43	19	32	24	17	7	33	22	18	25	17
hsa-miR-16-2-5p	151	1430	241	563	243	212	104	734	157	288	212	723
hsa-miR-455-5p	57	90	85	99	32	68	12	24	39	86	117	118
hsa-miR-194-2-5p	18	185	32	71	24	25	5	77	9	33	23	38
hsa-miR-424-3p	638	1125	517	906	164	218	85	211	143	385	301	293
hsa-miR-17-5p	1140	5349	1248	1362	1001	502	374	2275	608	541	484	754
hsa-miR-101-1-3p	2962	4637	9233	4966	3225	4795	2183	3349	6050	3408	5733	6221
hsa-miR-7-2-5p	980	642	3001	2330	913	1597	902	1285	4628	3275	844	1414
hsa-miR-425-5p	596	632	832	1004	698	497	294	580	602	652	568	838
hsa-miR-96-5p	404	942	870	1193	1098	767	365	1390	1196	667	975	2501
hsa-miR-501-3p	28	78	36	42	33	20	21	39	19	38	29	25
hsa-miR-4791-5p	212	329	164	284	65	95	249	275	60	250	150	174
hsa-miR-3195-5p	66	37	56	25	29	16	6	47	26	26	10	4
hsa-let-7a-2-5p	6198	49182	15283	38509	18570	10650	15004	45113	12750	23131	13193	14566
hsa-miR-103a-2-3p	3560	27696	4769	8212	5981	3550	3543	22319	2788	5044	3749	5063
hsa-miR-106b-3p	152	401	343	439	298	131	202	334	242	366	312	260
hsa-miR-25-3p	855	2067	1842	3231	1550	983	1435	1397	1145	2293	1329	1137
hsa-miR-425-3p	59	122	116	105	125	49	45	97	86	90	82	72
hsa-miR-1278-3p	8	8	17	25	12	12	5	7	13	12	19	14
hsa-miR-8086-3p	5	14	33	17	21	8	5	21	11	13	10	15
hsa-miR-340-5p	824	889	2204	954	331	1350	136	496	1423	448	1325	2019
hsa-miR-320a-5p	20	16	44	16	18	8	7	11	12	23	8	5
hsa-let-7b-5p	1417	8633	3037	7959	3558	2262	2287	8219	1586	4280	2632	2637
hsa-miR-181c-5p	41	83	118	45	28	28	14	47	39	26	41	80
hsa-miR-1273g-3p	16	24	16	17	15	3	39	57	12	30	5	7
hsa-miR-324-3p	13	36	18	28	14	13	4	25	9	16	17	12
hsa-miR-7704-5p	15	10	22	8	10	3	7	10	11	6	9	2
hsa-miR-125b-2-3p	41	111	63	38	4	27	7	4	11	26	17	16
hsa-let-7i-3p	25	56	31	42	13	7	11	10	17	14	22	31
hsa-miR-147b-3p	7	11	24	17	22	8	5	22	27	15	13	7
hsa-miR-29b-1-3p	285	310	719	358	356	286	158	354	572	343	420	864
hsa-miR-10b-5p	4614	5695	8348	4717	708	2912	476	788	537	3867	3195	3729
hsa-miR-132-5p	15	29	22	19	10	14	5	6	10	4	17	10
hsa-miR-200a-5p	617	451	1510	1225	867	557	578	495	751	808	855	667
hsa-miR-30a-5p	14952	19249	16273	12606	15754	8773	10665	17380	14878	8970	12088	14187
hsa-miR-660-5p	120	186	216	122	76	106	44	156	148	73	129	157
hsa-miR-4521-3p	8	2	14	12	2	5	2	4	13	3	12	12
hsa-miR-34a-5p	24	124	59	72	21	36	5	38	14	24	44	42
hsa-miR-141-3p	128	219	304	208	160	150	65	207	196	113	161	180
