miRNAs	PC3_Pellet_GFP_4.3	PC3_Pellet_CAV1_4.3	PC3_Pellet_CAV2_4.3	PC3_Pellet_CAV3_4.3	PC3_Pellet_GFP_23.3	PC3_Pellet_CAV1_23.3	PC3_Pellet_CAV2_23.3	PC3_Pellet_CAV3_23.3	PC3_Pellet_GFP_6.3	PC3_Pellet_CAV1_6.3	PC3_Pellet_CAV2_6.3	PC3_Pellet_CAV3_23.3F			
hsa-miR-6134-3p	0	0	0	2	2	3	2	0	1	0	2	0			
hsa-miR-1255a-5p	0	2	0	2	0	1	0	2	2	3	2	3			
hsa-miR-320b-1-3p	243	429	157	293	505	271	417	173	235	139	159	191			
hsa-miR-5000-5p	3	0	0	0	0	0	0	0	0	0	0	1			
hsa-miR-1343-3p	1	7	1	1	1	3	0	0	1	3	0	1			
hsa-miR-3158-2-5p	0	0	0	0	0	0	0	0	0	0	0	0			
hsa-miR-516b-1-3p	0	1	0	0	0	0	0	0	0	0	1	0			
hsa-miR-485-5p	0	0	0	0	0	0	0	0	0	0	0	0			
hsa-miR-4498-3p	0	0	0	0	0	0	0	0	0	0	0	0			
hsa-miR-455-3p	4	3	2	3	8	1	3	8	6	4	1	4			
hsa-miR-18b-5p	1	5	0	1	4	0	4	4	4	0	3	1			
hsa-miR-486-2-3p	0	0	0	0	0	0	0	0	0	0	0	0			
hsa-miR-6873-3p	1	0	1	3	2	1	1	1	4	0	1	0			
hsa-miR-4788-5p	0	0	0	0	1	0	0	0	0	0	0	0			
hsa-miR-6859-1-3p	0	1	0	0	1	0	0	1	0	0	0	0			
hsa-miR-500b-5p	8	13	6	7	12	12	7	2	8	7	6	5			
hsa-miR-1292-3p	0	0	0	1	0	0	1	0	0	0	0	0			
hsa-miR-8072-5p	0	0	0	0	1	0	0	0	0	0	0	0			
hsa-miR-1909-5p	0	1	0	0	0	0	0	0	0	1	1	0			
hsa-miR-6884-3p	0	0	0	0	0	0	1	0	0	0	0	0			
hsa-miR-3116-2-3p	0	3	0	0	1	0	1	1	0	1	0	0			
hsa-miR-2117-3p	0	0	0	0	0	0	0	0	0	0	0	0			
hsa-miR-1272-5p	0	0	0	0	3	0	0	0	0	0	0	0			
hsa-miR-432-5p	0	0	0	0	0	0	0	0	0	0	0	0			
hsa-miR-548y-3p	1	3	1	2	0	0	0	2	1	1	3	1			
hsa-miR-555-3p	0	0	0	0	0	0	0	0	0	0	0	0			
hsa-miR-4717-3p	0	0	0	0	3	1	1	0	2	0	0	0			
hsa-miR-3929-3p	10	9	6	11	22	10	15	3	12	5	10	8			
hsa-miR-2115-3p	0	0	0	0	0	0	0	0	0	0	0	0			
hsa-miR-3120-3p	0	1	0	0	0	0	0	0	0	0	0	0			
hsa-miR-602-5p	0	0	1	1	0	0	0	0	0	0	1	0			
hsa-miR-4659a-3p	1	0	0	0	1	1	0	2	0	0	1	1			
hsa-miR-3145-3p	0	0	0	0	0	0	0	1	0	0	1	0			
hsa-miR-4773-1-5p	0	0	0	0	0	0	0	0	0	0	0	0			
hsa-miR-3137-3p	0	0	0	0	0	0	0	0	0	0	0	0			
hsa-miR-548ar-3p	2	0	0	0	0	2	1	0	4	0	2	5			
hsa-miR-520h-5p	0	0	0	0	0	0	0	0	0	0	0	0			
hsa-miR-3180-5-5p	1	0	1	0	1	0	0	0	1	0	0	0			
hsa-miR-568-3p	0	0	0	0	0	0	0	0	0	0	0	0			
hsa-miR-3918-3p	0	0	0	0	0	0	0	1	0	0	0	0			
hsa-miR-644a-5p	0	0	0	0	0	0	0	0	0	0	0	0			
hsa-miR-3922-3p	1	1	0	5	3	0	2	8	2	0	1	1			
hsa-miR-4713-5p	0	0	0	0	0	0	0	0	0	0	0	0			
hsa-miR-4729-5p	0	0	0	0	0	0	0	0	0	0	0	0			
hsa-miR-6756-3p	0	1	1	2	1	1	0	0	0	0	0	0			
hsa-miR-1298-5p	0	0	0	1	0	0	0	0	0	1	0	0			
hsa-miR-30d-5p	10121	20379	8557	16971	16434	12350	13819	9867	13000	7979	9129	13269			
hsa-miR-4650-1-3p	0	0	0	0	0	0	0	0	0	0	0	0			
hsa-miR-6088-3p	0	0	0	1	0	0	0	0	0	0	0	0			
hsa-miR-519a-1-3p	2	3	0	2	4	0	0	0	5	3	0	7			
hsa-miR-1909-3p	1	1	0	0	0	0	0	1	0	1	3	0			
hsa-miR-539-3p	0	0	0	0	0	0	0	2	0	0	1	0			
hsa-miR-4658-3p	0	0	0	0	0	0	0	0	0	0	0	0			
hsa-miR-5688-3p	0	0	0	0	0	0	0	0	0	0	0	0			
hsa-miR-511-5p	0	0	0	0	1	0	0	1	1	0	0	0			
hsa-miR-6846-3p	3	0	1	1	2	0	0	2	0	0	0	0			
hsa-miR-137-5p	0	0	0	0	0	0	0	0	0	0	0	0			
hsa-miR-205-5p	14677	16601	4031	6159	35972	9235	13612	9286	13770	7565	6572	10113			
hsa-miR-3671-5p	0	0	0	0	0	0	0	0	0	0	0	0			
hsa-miR-1275-5p	20	90	14	29	176	19	61	61	91	17	45	39			
hsa-miR-6749-5p	0	0	0	0	0	0	0	0	0	0	0	0			
hsa-miR-216b-3p	0	0	0	0	0	0	0	0	0	0	0	0			
hsa-miR-548y-5p	0	1	0	1	0	0	1	1	0	0	1	0			
hsa-miR-7114-5p	0	1	0	0	0	0	0	0	0	0	0	0			
hsa-miR-2114-5p	0	0	0	0	0	0	0	0	0	0	0	0			
hsa-miR-7151-5p	0	0	0	0	0	0	0	0	0	0	0	0			
hsa-miR-3908-5p	0	0	0	0	0	0	0	0	1	0	0	1			
hsa-miR-4472-2-3p	1	2	0	1	0	3	2	1	1	1	3	1			
hsa-miR-2117-5p	0	0	0	0	0	0	0	0	0	0	0	0			
hsa-miR-5195-3p	0	0	0	0	0	1	0	0	0	0	0	0			
hsa-miR-320d-2-3p	15	33	14	21	36	15	37	9	25	8	16	20			
hsa-miR-5000-3p	0	0	0	0	0	0	0	0	0	0	0	0			
hsa-miR-7154-5p	0	0	0	0	0	0	0	0	0	0	0	0			
hsa-miR-615-5p	0	0	0	0	0	0	0	0	0	0	0	0			
hsa-miR-4322-3p	0	0	0	0	0	0	0	0	0	0	0	0			
hsa-miR-573-5p	1	2	0	1	1	0	0	4	3	2	5	5			
hsa-miR-548an-5p	0	0	0	0	0	0	1	0	1	0	0	0			
hsa-miR-204-5p	0	0	0	1	1	3	1	0	0	0	0	1			
hsa-miR-3911-5p	0	0	0	0	1	0	1	0	1	0	0	0			
hsa-miR-214-5p	0	1	0	0	1	0	0	0	0	0	0	0			
hsa-miR-7110-3p	1	4	1	1	1	0	3	1	3	1	1	1			
hsa-miR-1302-11-5p	0	0	0	0	0	0	0	0	0	0	0	0			
hsa-miR-320b-2-3p	266	524	182	400	689	365	627	200	269	169	173	216			
hsa-miR-6831-5p	0	0	0	0	0	0	0	0	0	0	0	0			
hsa-miR-6799-5p	0	0	0	0	0	0	0	0	0	0	0	0			
hsa-miR-550b-2-5p	0	0	0	0	0	0	0	0	0	0	0	0			
hsa-miR-4778-5p	0	0	0	0	0	0	0	0	0	0	0	0			
hsa-miR-342-3p	53	60	31	56	47	37	38	25	32	20	30	39			
hsa-miR-150-5p	0	0	1	0	0	0	0	0	0	1	0	0			
hsa-miR-6885-3p	0	2	0	0	0	1	0	1	0	0	0	1			
hsa-miR-4432-3p	0	0	0	0	0	0	0	1	0	0	0	0			
hsa-miR-6127-3p	0	0	0	0	0	0	0	0	0	0	0	0			
hsa-miR-382-5p	0	0	1	2	0	3	1	1	1	2	0	2			
hsa-miR-3157-3p	0	0	0	0	0	0	0	0	0	0	0	1			
hsa-miR-8077-5p	0	0	0	0	0	0	0	0	0	0	0	0			
hsa-miR-513a-2-5p	0	0	0	0	0	0	0	0	0	0	0	0			
hsa-miR-548h-3-3p	5	8	2	0	4	3	2	4	11	4	6	5			
hsa-miR-888-3p	0	0	0	0	0	0	0	0	0	0	0	0			
hsa-miR-4637-3p	0	0	0	0	0	0	0	0	0	0	0	0			
hsa-miR-765-3p	0	0	0	2	1	0	0	0	0	0	0	0			
hsa-miR-1249-3p	0	1	0	0	0	1	0	1	0	0	0	0			
hsa-miR-5008-5p	0	0	0	0	0	0	1	0	1	0	0	0			
hsa-miR-6859-4-5p	0	0	0	1	0	0	0	1	1	0	0	1			
hsa-miR-3149-3p	1	1	1	1	0	1	0	1	2	2	0	0			
hsa-miR-24-2-5p	81	244	90	133	286	305	430	133	147	86	157	180			
hsa-miR-6716-3p	1	0	0	2	0	1	0	1	1	0	1	1			
hsa-miR-6770-3-5p	0	0	0	0	0	0	0	0	1	0	0	0			
hsa-miR-29c-5p	9	16	3	8	9	6	5	9	20	10	12	17			
hsa-miR-219a-2-5p	0	2	0	0	0	0	0	0	0	1	0	0			
hsa-miR-372-3p	0	0	1	1	3	0	1	0	7	2	3	2			
hsa-miR-4706-5p	0	0	0	0	0	0	0	0	0	0	0	0			
hsa-miR-219a-1-3p	0	5	4	3	4	2	0	1	2	0	1	0			
hsa-miR-6848-5p	0	0	0	0	0	0	0	0	0	0	0	0			
hsa-miR-6878-3p	0	0	0	0	0	0	0	0	0	0	0	0			
hsa-miR-6841-5p	0	0	0	0	0	0	0	0	0	0	0	0			
hsa-miR-664a-5p	1	3	2	2	2	1	9	0	4	1	2	0			
hsa-miR-6844-3p	0	0	0	1	1	0	0	0	1	0	5	0			
hsa-miR-6758-5p	1	0	0	0	0	0	0	0	0	0	0	0			
hsa-miR-20b-3p	0	0	0	0	0	0	1	0	0	0	0	0			
hsa-miR-4515-5p	0	0	0	1	0	0	0	0	0	0	0	0			
hsa-miR-609-3p	0	0	0	0	0	0	0	0	0	0	0	0			
hsa-miR-124-2-5p	1	0	0	0	0	0	0	0	0	0	0	0			
hsa-miR-3116-2-5p	0	0	1	0	0	0	0	0	0	0	0	0			
hsa-miR-1252-5p	0	0	0	0	0	0	0	0	0	0	1	1			
hsa-miR-23b-5p	1	10	5	2	6	2	6	2	1	0	5	4			
hsa-miR-758-3p	0	1	1	1	0	0	0	0	1	0	2	1			
hsa-miR-2113-3p	0	0	0	0	0	0	0	0	0	0	0	0			
hsa-miR-744-3p	1	9	0	4	9	4	4	2	7	1	2	2			
hsa-miR-105-2-3p	0	0	0	0	0	0	0	0	0	0	0	0			
hsa-miR-619-5p	8	25	7	14	33	13	31	17	32	9	22	15			
hsa-let-7d-3p	95	262	96	152	193	139	177	126	331	112	151	101			
hsa-miR-149-3p	0	0	0	0	0	0	0	0	2	0	0	1			
hsa-miR-518d-5p	0	0	0	0	0	0	0	0	0	0	0	0			
hsa-miR-6881-3p	0	0	2	0	4	0	0	2	0	0	0	2			
hsa-miR-6862-2-5p	0	2	0	0	0	1	0	0	0	0	0	0			
hsa-miR-6797-3p	0	0	0	1	0	0	0	0	0	0	0	0			
hsa-miR-4473-5p	0	1	0	0	0	0	0	0	0	0	0	0			
hsa-miR-6839-5p	0	0	0	0	0	0	1	0	0	0	0	0			
hsa-miR-3687-2-5p	0	1	0	0	1	0	0	0	0	0	0	0			
hsa-miR-502-5p	4	1	1	2	3	3	1	0	6	1	0	2			
hsa-miR-6721-5p	1	0	0	1	0	0	0	0	1	0	0	0			
hsa-miR-4728-5p	0	1	0	0	2	0	0	0	0	0	0	0			
hsa-miR-4313-5p	0	0	0	0	0	0	0	0	0	0	0	0			
hsa-miR-450a-1-3p	2	3	2	1	4	1	1	3	4	1	0	1			
hsa-miR-3665-5p	1	0	0	0	0	0	0	0	1	0	0	0			
hsa-miR-6509-5p	0	0	0	0	0	0	0	0	0	0	0	0			
hsa-miR-136-5p	0	0	0	0	0	0	0	0	0	0	0	0			
hsa-miR-3607-5p	2	2	0	0	5	1	5	0	1	2	0	0			
hsa-miR-3126-5p	0	1	0	1	0	0	2	0	0	0	0	0			
hsa-miR-106a-5p	123	96	23	40	399	98	184	39	125	43	71	72			
hsa-miR-766-3p	1	6	0	1	7	1	7	1	3	0	5	2			
hsa-miR-548s-5p	0	0	0	0	0	0	0	0	0	0	0	0			
hsa-miR-541-5p	0	0	0	0	0	0	0	0	0	0	0	0			
hsa-miR-4422-3p	0	1	0	0	0	0	0	0	0	0	0	0			
hsa-miR-4795-3p	0	0	0	1	3	1	1	1	3	0	1	2			
hsa-miR-1248-5p	6	25	4	7	22	9	13	19	53	13	20	14			
hsa-miR-1271-5p	0	2	0	0	1	2	1	0	1	0	3	0			
hsa-miR-15a-5p	11	34	9	18	96	20	47	13	37	13	16	36			
hsa-miR-1296-5p	49	122	24	44	89	46	38	60	95	34	53	51			
hsa-miR-4712-3p	0	0	0	0	0	0	0	0	0	0	0	0			
hsa-miR-3120-5p	0	0	0	0	0	0	0	0	0	0	0	0			
hsa-miR-6502-3p	0	0	0	0	0	0	0	0	0	0	0	0			
hsa-miR-4697-5p	0	0	0	0	0	0	0	0	0	0	0	0			
hsa-miR-874-5p	0	0	0	0	0	0	0	0	0	0	0	0			
hsa-miR-365b-5p	5	2	3	1	6	2	4	5	6	2	3	6			
hsa-miR-4713-3p	0	0	0	0	0	0	0	0	0	0	0	0			
hsa-miR-5684-3p	1	4	1	1	2	3	2	2	10	2	3	3			
hsa-miR-3659-3p	0	0	0	0	0	0	0	0	0	0	0	0			
hsa-miR-548ay-3p	0	1	2	0	1	1	0	0	1	0	0	1			
hsa-miR-204-3p	0	0	0	0	0	0	0	0	0	0	0	0			
hsa-miR-6776-5p	0	0	0	0	0	0	0	0	0	0	0	0			
hsa-miR-93-5p	817	1622	419	644	2663	1178	2443	603	944	693	849	970			
hsa-miR-3929-5p	1	2	1	5	5	1	2	0	5	0	4	0			
hsa-miR-1243-5p	0	0	0	0	0	0	0	0	1	0	0	0			
hsa-miR-502-3p	34	74	27	34	126	41	81	43	52	19	24	37			
hsa-miR-4280-3p	0	0	0	0	0	0	1	0	0	0	0	0			
hsa-miR-124-3-3p	0	0	0	0	0	0	0	0	0	0	0	0			
hsa-miR-3677-3p	0	3	0	1	1	3	1	3	2	1	0	1			
hsa-miR-518f-5p	0	0	0	0	0	0	0	0	0	0	0	0			
hsa-miR-4418-5p	0	0	0	0	0	0	0	0	0	0	0	0			
hsa-miR-561-5p	1	7	4	6	3	2	1	15	3	2	5	5			
hsa-miR-487b-3p	0	0	0	0	0	0	0	1	0	0	1	0			
hsa-miR-589-3p	1	2	1	0	2	2	1	2	0	1	0	1			
hsa-miR-3667-3p	0	0	0	0	0	0	0	0	0	0	0	0			
hsa-miR-151a-5p	613	820	204	1117	525	236	347	795	2391	497	542	1036			
hsa-miR-367-3p	0	0	0	0	0	0	0	0	0	0	0	0			
hsa-miR-6816-3p	0	0	0	0	0	0	0	0	1	0	0	0			
hsa-miR-374c-3p	0	0	0	0	0	0	0	0	0	0	1	0			
hsa-miR-7641-1-3p	461	122	354	376	156	73	1664	70	81	31	33	59			
hsa-miR-6867-5p	0	0	0	1	0	0	0	0	0	0	0	0			
hsa-miR-153-2-3p	2	7	2	2	3	4	1	1	2	1	1	7			
hsa-miR-4742-5p	0	0	0	0	0	0	0	0	0	1	0	0			
hsa-miR-4747-3p	0	0	0	2	1	0	0	0	0	0	0	0			
hsa-miR-329-1-3p	0	0	1	0	0	1	0	0	0	0	1	0			
hsa-miR-550b-1-5p	0	0	0	0	0	0	0	0	0	0	0	0			
hsa-miR-4792-5p	2	4	1	2	3	3	0	1	5	1	6	2			
hsa-miR-4659a-5p	0	0	0	0	0	0	0	0	0	0	0	0			
hsa-miR-9-2-3p	0	0	0	1	2	1	2	0	1	1	0	1			
hsa-miR-3201-5p	0	0	0	0	0	0	0	0	0	0	0	0			
hsa-miR-4761-3p	0	1	0	1	0	0	0	1	0	0	0	0			
hsa-miR-130a-5p	5	2	0	3	1	1	2	5	5	1	4	1			
hsa-miR-5588-3p	0	0	0	0	0	0	2	0	0	0	0	1			
hsa-miR-6755-3p	0	0	0	0	0	0	0	0	0	0	0	0			
hsa-miR-637-3p	0	0	0	0	0	0	0	0	0	0	0	0			
hsa-miR-509-1-5p	0	0	0	0	0	0	0	0	1	0	0	0			
hsa-miR-522-5p	0	1	0	0	0	0	0	0	0	0	2	0			
hsa-miR-4726-3p	0	0	0	0	0	0	0	0	0	0	1	0			
hsa-miR-4799-5p	0	0	0	0	0	0	0	0	0	0	0	0			
hsa-miR-4267-5p	0	0	0	0	0	0	0	1	0	0	0	0			
hsa-miR-584-5p	429	1115	431	640	1209	674	1114	807	748	345	714	667			
hsa-miR-1266-3p	0	0	0	0	0	0	0	0	0	0	0	0			
hsa-miR-3156-2-5p	0	0	0	0	0	0	0	0	0	0	0	0			
hsa-miR-4714-3p	0	0	0	0	0	0	0	0	0	0	0	0			
hsa-miR-6808-3p	1	4	1	2	1	3	0	2	3	2	1	3			
hsa-miR-635-5p	0	0	0	0	0	0	0	0	0	0	0	0			
hsa-miR-5089-5p	0	0	0	0	0	0	0	0	0	0	0	0			
hsa-miR-423-5p	489	574	251	353	657	316	477	519	479	310	315	472			
hsa-miR-670-5p	0	0	0	0	0	0	0	0	0	0	0	0			
hsa-miR-548ap-5p	0	0	0	0	0	0	0	0	2	0	0	0			
hsa-miR-6793-5p	0	0	1	1	0	0	0	0	0	0	0	0			
hsa-miR-5579-3p	0	0	0	0	0	0	0	0	0	0	0	0			
hsa-miR-4753-5p	0	0	0	0	0	0	0	0	0	0	0	0			
hsa-miR-1273h-3p	0	0	0	0	0	0	0	0	0	0	0	0			
hsa-miR-500a-3p	56	120	63	64	180	76	155	66	91	36	39	74			
hsa-miR-200c-3p	34	56	21	48	131	58	94	42	63	41	28	91			
hsa-miR-4749-5p	0	0	0	0	1	0	1	0	0	0	0	0			
hsa-miR-4725-3p	0	0	0	0	0	0	0	0	0	0	1	0			
hsa-miR-629-5p	20	175	31	86	58	81	74	39	61	45	41	36			
hsa-let-7i-5p	4304	17737	3165	10532	24581	4204	8872	4828	6133	5362	3348	7809			
hsa-miR-4775-3p	0	0	0	0	0	0	0	0	0	0	0	0			
hsa-miR-3687-1-5p	0	1	0	0	1	0	0	0	0	0	0	0			
hsa-miR-135b-5p	157	325	90	133	385	272	229	243	406	170	209	362			
hsa-miR-4651-5p	0	0	0	0	0	0	1	0	0	0	0	1			
hsa-miR-942-3p	0	0	0	0	0	0	0	0	0	0	2	1			
hsa-miR-378j-5p	0	3	0	2	4	3	0	1	3	0	2	1			
hsa-miR-3923-3p	0	0	0	0	1	0	0	0	0	0	0	0			
hsa-miR-6892-3p	0	0	0	0	0	0	0	0	0	0	0	0			
hsa-miR-6753-3p	0	2	1	0	1	0	0	1	0	0	4	0			
hsa-miR-6740-3p	0	0	0	0	0	0	0	0	0	0	0	0			
hsa-miR-382-3p	0	0	0	2	1	0	0	0	0	0	1	1			
hsa-miR-548ad-5p	2	0	1	0	2	4	0	2	0	1	2	2			
hsa-miR-488-5p	0	0	0	0	0	0	0	0	0	0	0	0			
hsa-miR-188-3p	0	0	0	0	0	0	1	0	0	0	1	0			
hsa-miR-486-1-5p	2	3	0	2	3	3	0	0	2	3	1	1			
hsa-miR-512-2-3p	1	0	0	0	1	1	0	0	1	1	0	0			
hsa-miR-4258-3p	0	0	0	0	0	0	0	1	0	0	0	0			
hsa-miR-6786-3p	0	1	0	0	0	0	1	0	2	0	2	1			
hsa-miR-330-3p	130	169	80	143	134	127	184	84	164	75	106	99			
hsa-miR-23a-3p	658	1836	678	1244	4111	1277	3736	942	937	569	1038	1227			
hsa-miR-3140-5p	0	0	0	1	0	0	0	0	0	0	0	0			
hsa-miR-6884-5p	0	0	0	0	0	0	0	0	0	0	0	0			
hsa-miR-7154-3p	0	0	0	0	0	0	1	0	0	0	0	0			
hsa-miR-1273a-5p	4	15	3	11	9	7	8	10	16	4	3	14			
hsa-miR-8084-5p	0	0	0	0	0	0	0	0	0	0	0	0			
hsa-miR-548h-1-3p	0	0	0	0	0	1	0	0	0	0	0	0			
hsa-miR-450b-3p	0	0	0	0	0	0	0	1	0	0	0	0			
hsa-miR-7976-5p	2	5	1	3	7	0	1	4	6	0	2	1			
hsa-miR-4286-3p	0	0	0	0	0	0	0	0	0	0	0	0			
hsa-miR-4435-1-5p	0	0	1	0	1	0	1	1	1	0	1	1			
hsa-miR-4750-5p	0	2	0	0	0	2	0	0	1	0	0	1			
hsa-miR-4709-5p	0	0	0	0	0	0	0	0	2	0	1	0			
hsa-miR-6858-5p	0	0	0	0	0	0	0	0	0	0	0	0			
hsa-miR-374b-3p	12	31	8	20	21	13	17	25	42	11	34	40			
hsa-miR-548ae-1-3p	1	1	0	0	0	0	2	0	2	1	0	0			
hsa-miR-3130-2-5p	0	0	0	0	1	0	0	0	0	0	0	0			
hsa-miR-5683-5p	0	0	0	0	0	0	0	2	1	0	0	1			
hsa-miR-8058-3p	0	0	0	0	0	0	0	0	0	0	0	0			
hsa-miR-6830-3p	0	0	0	0	0	0	0	0	0	0	0	0			
