miRNAs	10_S10	11_S11	12_S12	13_S13	14_S14	15_S15	16_S16	17_S17	18_S18	19_S19	1_S1	20_S20	21_S21	22_S22	23_S23	24_S24	25_S25	26_S26	27_S27	28_S28	29_S29	2_S2	30_S30	31_S31	32_S32	33_S33	34_S34	35_S35	36_S36	37_S37	38_S38	39_S39	3_S3	40_S40	41_S41	42_S42	43_S43	44_S44	45_S45	46_S46	47_S47	48_S48	49_S49	4_S4	50_S50	51_S51	52_S52	53_S53	54_S54	5_S5	6_S6	7_S7	8_S8	9_S9
hsa-miR-3680-1-3p	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
hsa-miR-890-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6764-5p	0	1	0	1	0	1	6	4	1	0	0	0	1	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	1	0	0	1	0	0	0	1	1	0	1	2	0	0	1	0	0	0	0	0	0	0	0	0	0
hsa-miR-548as-5p	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
hsa-miR-6824-3p	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	2	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0
hsa-miR-3690-1-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
hsa-miR-9-3-3p	73	35	21	38	63	33	107	89	4	60	47	29	5	14	2	9	15	1	1	53	4	27	36	3	2	1	2	7	4	7	3	2	142	2	3	3	4	5	5	2	1	4	0	100	8	2	0	26	2	0	0	65	44	40
hsa-miR-6854-3p	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0
hsa-miR-8485-3p	1	1	0	0	0	0	19	0	1	39	9	0	0	53	0	37	35	8	0	34	0	0	21	0	0	9	7	0	0	19	0	0	0	9	0	0	0	0	0	0	0	0	0	11	0	0	0	1	0	0	0	0	0	0
hsa-miR-7109-5p	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3127-3p	3	4	1	0	1	3	2	0	2	0	1	0	0	0	0	0	2	0	0	1	0	0	2	0	0	0	0	4	0	0	0	1	8	0	0	0	0	2	1	1	1	0	0	4	2	0	0	3	0	0	0	0	2	3
hsa-miR-510-5p	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-7107-3p	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4510-5p	6	6	1	10	9	2	1	1	0	1	2	0	1	0	0	1	0	0	0	1	1	7	1	0	2	0	0	4	0	1	0	0	23	0	0	0	0	1	0	0	0	0	2	19	3	0	0	2	2	0	0	16	5	7
hsa-miR-548a-3-3p	6	5	2	4	1	2	5	13	0	7	1	1	1	7	0	3	4	0	0	5	0	1	1	1	0	0	1	7	0	0	1	2	11	0	0	0	3	0	0	3	1	2	0	8	0	0	0	2	2	0	0	4	3	1
hsa-miR-3679-5p	2	7	4	9	2	3	3	0	2	5	4	1	0	0	0	0	0	0	0	2	1	1	1	0	1	0	2	0	0	0	0	1	9	1	0	1	2	0	1	3	0	0	1	14	2	0	0	2	0	0	0	7	4	8
hsa-miR-548m-5p	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-195-5p	54	24	34	42	45	47	15	13	2	24	29	0	0	3	1	0	3	0	0	5	0	30	4	2	8	2	5	50	5	14	4	7	217	1	4	9	0	1	1	1	4	3	0	124	7	0	0	12	1	0	0	64	54	42
hsa-miR-5693-3p	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-544b-5p	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-548i-4-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6894-5p	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
hsa-miR-6798-5p	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-622-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1270-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	5	0	0	0	0	3	0	1	0	5	0	3	1	5	0	0	0	2	0	0	1	0	0	1	1	0	0	0	0	0
hsa-miR-3176-3p	23	59	31	55	48	17	31	10	4	29	11	3	7	5	2	4	12	0	0	9	0	13	7	1	1	0	0	1	1	1	2	2	40	1	0	0	1	2	3	0	2	1	0	29	2	0	0	3	0	0	0	21	17	37
hsa-miR-588-5p	3	0	0	1	2	1	2	1	0	0	2	0	1	1	0	1	1	0	0	1	0	3	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	4	1	2
hsa-miR-3677-5p	0	4	0	6	6	0	0	0	0	0	4	0	0	0	0	1	0	0	0	0	0	5	0	2	1	0	0	0	0	1	1	2	7	0	3	3	0	0	0	1	2	1	1	4	1	0	0	0	0	0	0	5	2	1
hsa-miR-548ba-3p	5	1	4	5	1	5	1	1	1	0	4	1	0	0	0	0	0	0	0	3	0	2	0	0	0	0	0	0	0	0	0	2	2	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	1
hsa-miR-4636-5p	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
hsa-miR-136-3p	0	0	0	0	0	0	2	0	2	0	0	0	1	0	0	0	0	1	0	3	3	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0
hsa-miR-6510-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-551b-5p	21	31	9	34	37	10	2	1	7	2	21	4	1	0	0	1	3	0	2	5	0	25	8	0	0	0	0	0	0	0	0	0	63	0	0	0	0	0	0	0	0	0	0	32	2	0	0	1	0	0	0	27	19	25
hsa-let-7a-2-3p	1	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	12	47	17	33	25	35	22	32	43	0	15	61	38	13	12	33	23	19	13	32	1	32	0	0	34	8	0	0	0	0	0
hsa-miR-4663-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
hsa-miR-422a-5p	66	77	48	92	55	45	45	26	22	23	26	25	8	13	1	7	17	0	0	13	9	66	22	9	28	15	13	17	16	18	16	15	91	11	15	21	20	15	22	19	29	26	19	109	25	6	2	76	6	0	0	112	56	97
hsa-miR-4662b-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1302-10-5p	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3175-5p	0	0	1	1	1	2	1	0	0	0	2	1	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	2
hsa-miR-3115-5p	2	1	3	1	2	2	6	3	0	6	1	1	0	0	0	0	0	0	0	3	2	0	2	0	1	0	1	0	0	0	1	0	2	0	0	0	1	1	0	0	0	1	0	0	2	0	0	3	0	0	0	2	2	0
hsa-miR-548i-3-3p	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-7109-3p	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
hsa-miR-5194-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1911-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
hsa-miR-3122-5p	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1
hsa-miR-4474-3p	3	5	3	8	2	3	15	4	3	11	11	7	0	1	1	1	1	0	0	1	1	2	4	0	0	0	1	1	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	8	6	6
hsa-miR-4536-1-3p	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6848-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4795-5p	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3653-5p	5	10	1	14	3	6	0	1	0	4	20	0	3	0	0	0	1	0	0	0	0	12	2	5	5	7	9	12	10	7	4	11	17	5	2	6	1	0	0	1	1	0	0	11	3	0	0	1	0	0	0	19	10	14
hsa-miR-1287-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3135b-3p	1	0	3	1	0	0	26	20	3	11	1	7	3	21	0	7	10	1	0	21	0	2	4	0	3	0	3	6	1	4	1	11	4	2	4	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	4
hsa-miR-3670-4-3p	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4327-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1227-3p	6	6	2	3	4	3	0	1	0	0	4	0	0	0	0	0	1	0	0	0	0	8	1	0	1	0	1	1	1	0	0	1	6	0	0	0	0	0	2	0	0	0	0	6	0	0	0	0	0	0	0	5	3	4
hsa-miR-7854-5p	1	5	2	1	1	0	0	0	1	1	2	0	0	0	0	0	0	0	0	0	0	4	0	1	3	0	1	2	2	1	1	2	2	2	2	1	0	0	7	1	2	1	1	2	4	0	0	0	0	0	0	4	2	4
hsa-miR-548au-3p	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
hsa-miR-4734-3p	1	4	0	2	3	1	0	1	0	0	1	2	0	0	0	0	0	1	0	0	0	2	1	0	0	1	0	0	1	0	1	0	3	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	1	0	3
hsa-miR-5188-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1255b-2-5p	0	1	2	1	3	0	1	0	0	0	1	0	0	1	0	0	2	0	0	1	1	3	0	0	2	0	0	1	0	0	0	0	1	0	0	0	1	0	1	0	2	1	0	4	0	0	0	1	0	0	0	1	0	0
hsa-miR-448-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0
hsa-miR-3116-1-5p	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
hsa-miR-20a-5p	28756	8356	11973	17959	34026	17784	17499	17476	4824	23259	23375	5707	2997	15078	1115	6974	15157	161	94	16953	1342	21640	12244	4590	3297	819	1275	16200	2601	6703	1924	4996	116937	2435	3030	3244	3549	1501	894	424	2688	1116	975	45593	1800	515	232	6079	1288	81	191	21336	32910	17049
hsa-miR-2909-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6134-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	2	2	3	2	0	1	0	0	2	0	0	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1255a-5p	20	46	22	31	31	21	4	1	2	3	32	0	1	0	0	0	6	0	0	0	0	28	6	0	2	0	2	0	1	0	2	2	22	3	2	3	2	4	1	2	1	2	3	30	5	1	0	1	0	0	0	66	20	40
hsa-miR-320b-1-3p	888	826	442	1198	906	798	1299	765	1224	731	851	1689	398	224	159	91	276	51	9	274	200	809	602	243	429	157	293	505	271	417	173	235	1773	139	159	191	1099	694	1327	1038	448	527	414	1577	570	212	25	1780	274	12	8	1858	685	1322
hsa-miR-5000-5p	3	3	1	3	2	4	1	1	0	0	2	1	0	1	0	0	0	0	0	0	0	3	1	3	0	0	0	0	0	0	0	0	4	0	0	1	0	0	3	0	1	1	0	2	0	0	0	0	0	0	0	1	6	8
hsa-miR-1343-3p	4	7	3	6	5	1	2	2	1	1	3	2	0	0	0	1	0	0	0	5	0	3	0	1	7	1	1	1	3	0	0	1	8	3	0	1	0	0	0	1	3	0	0	6	1	0	0	0	1	0	0	15	3	4
hsa-miR-3158-2-5p	0	0	0	0	1	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-516b-1-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-485-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0
hsa-miR-4498-3p	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-455-3p	33	14	6	42	17	26	0	4	0	7	26	1	0	0	0	0	0	0	0	6	1	25	6	4	3	2	3	8	1	3	8	6	76	4	1	4	1	3	3	2	3	1	1	56	5	0	0	1	0	0	0	40	29	26
hsa-miR-18b-5p	45	8	31	23	31	49	8	4	3	8	29	2	2	0	0	1	2	0	0	4	1	11	1	1	5	0	1	4	0	4	4	4	58	0	3	1	1	2	0	1	1	1	1	82	1	1	0	5	1	0	1	22	31	19
hsa-miR-486-2-3p	1	0	0	0	0	0	2	2	0	1	0	0	1	0	1	1	1	0	0	4	0	0	2	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	2	1	0
hsa-miR-6873-3p	5	3	2	6	0	2	5	2	0	3	4	1	0	2	0	1	0	0	0	8	1	4	9	1	0	1	3	2	1	1	1	4	10	0	1	0	0	1	0	2	1	1	2	1	0	0	0	6	1	0	0	5	1	3
hsa-miR-4788-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
hsa-miR-6859-1-3p	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
hsa-miR-500b-5p	73	133	111	259	244	77	3	8	4	5	173	1	6	1	0	2	2	0	2	4	0	108	4	8	13	6	7	12	12	7	2	8	141	7	6	5	3	4	1	4	9	4	2	83	8	3	2	4	1	1	1	123	91	160
hsa-miR-1292-3p	0	2	1	2	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
hsa-miR-8072-5p	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1909-5p	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	1	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6884-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1
hsa-miR-3116-2-3p	1	1	2	0	0	4	7	5	1	3	0	4	0	2	1	0	1	0	0	0	0	1	3	0	3	0	0	1	0	1	1	0	3	1	0	0	2	0	0	0	0	0	0	3	0	0	0	2	0	0	0	1	0	2
hsa-miR-2117-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1272-5p	2	2	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	3	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	1
hsa-miR-432-5p	0	0	0	0	0	0	0	4	1	0	0	2	1	0	0	0	1	0	0	4	1	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	2	0	0	6	0	0	0	0	0	0
hsa-miR-548y-3p	5	1	1	3	5	1	7	0	1	1	1	1	0	1	0	1	1	0	0	0	0	2	0	1	3	1	2	0	0	0	2	1	3	1	3	1	0	2	0	0	0	1	1	2	3	0	0	2	0	0	0	3	6	3
